supplier_id,supplier_name,material_id,material_name,recommended_qty,unit,moq,moq_unit,estimated_unit_price_inr,recommended_value_inr,required_qty,recommended_full_qty,unmet_qty_after_credit_gate,lead_time_days,order_by_date,action_timing,first_stockout_date,days_to_stockout,can_arrive_before_stockout,reliability_score,payment_terms_days,baseline_outstanding_payables_inr,baseline_credit_utilized_inr,projected_outstanding_after_line_inr,projected_credit_utilized_after_line_inr,remaining_available_credit_inr,credit_status,price_source,rationale,recommended_full_value_inr,projected_shortage_qty,demand_until_supplier_horizon
SUP02,BILT Graphic Paper,M05,Corrugating Medium,15.0,rolls,15.0,rolls,40121.53,601822.95,782308.3644,846225.0,846210.0,10,2023-12-23,immediate,2024-01-02,1,False,0.88,45,1414385.0,2175977.0,2016207.95,2777799.95,222200.0499999998,approved_partial_credit_limited,latest_supplier_receipt,less than 3 days of scheduled stock cover,33951841724.25,846224.6763999999,782327.3644
SUP07,Supreme Industries,M13,PP Strapping Band 12mm,60.0,rolls,20.0,rolls,3525.57,211534.2,108163.23740000001,132220.0,132160.0,6,2023-12-27,immediate,2024-01-02,1,False,0.94,30,1414385.0,2175977.0,2227742.15,2989334.1500000004,10665.849999999627,approved_partial_credit_limited,latest_supplier_receipt,less than 3 days of scheduled stock cover,466150865.40000004,132212.3554,108218.23740000001
